Cluster-1	total=20	enrichmentScore=5.603068435361114	phaseStdDev=3.8846037069441963	"glutathione metabolic process,glutathione peroxidase activity,Glutathione metabolism,Glutathione S-transferase, N-terminal,Thioredoxin-like fold,glutathione transferase activity,Glutathione S-transferase, C-terminal-like,Glutathione S-transferase, C-terminal,Metabolism of xenobiotics by cytochrome P450,Drug metabolism - cytochrome P450,GST N-terminal,Posttranslational modification, protein turnover, chaperones,GST C-terminal,TransferaseAnnotation Cluster 1"	Enrichment Score: 5.603068435361114								
FBtr0081427	CG9336-RA	3.101982	0	21.6	FlyBase CG9336-RA	Figure for CG9336-RA							
FBtr0076822	CG7506-RA	0.881652	0.030324	21.2	FlyBase CG7506-RA	Figure for CG7506-RA							
FBtr0088073	Tret1-1-RA	1.129614	0.034078	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
FBtr0075338	Rh4-RA	0.700931	0.048415	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0089056	Cyp9b1-RA	1.64049	0.016684	4.7	FlyBase Cyp9b1-RA	Figure for Cyp9b1-RA							
FBtr0072812	alphaCOP-RA	1.227777	0.03366	2.6	FlyBase alphaCOP-RA	Figure for alphaCOP-RA							
FBtr0331760	sog-RB	1.141983	0.023613	6.6	FlyBase sog-RB	Figure for sog-RB							
FBtr0079703	fu12-RA	0.771223	0.046117	5.7	FlyBase fu12-RA	Figure for fu12-RA							
FBtr0076106	CG32091-RB	1.192504	0.009138	19.8	FlyBase CG32091-RB	Figure for CG32091-RB							
FBtr0085571	CG9743-RA	2.372364	0.004004	3.8	FlyBase CG9743-RA	Figure for CG9743-RA							
FBtr0084601	CG6356-RA	1.256976	0.040287	8	FlyBase CG6356-RA	Figure for CG6356-RA							
FBtr0079128	CG7277-RA	1.055386	0.020585	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
FBtr0072117	bw-RA	1.963185	0.012521	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0089026	Tsp42Eh-RB	0.762191	0.04638	21.4	FlyBase Tsp42Eh-RB	Figure for Tsp42Eh-RB							
FBtr0086044	Gp210-RA	1.228789	0.009138	17.4	FlyBase Gp210-RA	Figure for Gp210-RA							
FBtr0073067	PHGPx-RA	0.909519	0.033871	24	FlyBase PHGPx-RA	Figure for PHGPx-RA							
FBtr0089028	Tsp42Ei-RA	0.585566	0.049564	18.3	FlyBase Tsp42Ei-RA	Figure for Tsp42Ei-RA							
FBtr0084648	Esyt2-RB	1.338505	0.020077	3.9	FlyBase Esyt2-RB	Figure for Esyt2-RB							
