Cluster-1	total=49	enrichmentScore=4.796693236858635	phaseStdDev=5.441887530751054	"Transmembrane helix,Transmembrane,integral component of membrane,MembraneAnnotation Cluster 1"	Enrichment Score: 4.796693236858635								
UP_KEYWORDS	Vision	3	2.542372881	0.080459245	4.394563333	2.778752717	"FBtr0081030, FBtr0301662, FBtr0085778"	118	56	13921	6.320066586	0.999807584	0.52030312
UP_KEYWORDS	Sensory transduction	3	2.542372881	0.344835282	4.394563333	2.778752717	"FBtr0081030, FBtr0301662, FBtr0085778"	118	145	13921	2.440853302	1	0.96039604
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0301662	trpl-RD	1.073084	0.036946	7.5	FlyBase trpl-RD	Figure for trpl-RD							
FBtr0085778	chp-RA	4.719771	0	0.8	FlyBase chp-RA	Figure for chp-RA							
FBtr0081030	Arr1-RA	2.482673	0.013512	4.9	FlyBase Arr1-RA	Figure for Arr1-RA							
													
Cluster-8	total=7	enrichmentScore=0.7806895435191374	phaseStdDev=4.2937648336499645	"transmembrane transport,transmembrane transporter activity,Major facilitator superfamily domainAnnotation Cluster 8"	Enrichment Score: 0.7806895435191374								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	6	5.084745763	0.102475492	-0.0725275	4.471914383	"FBtr0086633, FBtr0073421, FBtr0113477, FBtr0086340, FBtr0075025, FBtr0337051"	95	290	10996	2.39477314	1	1
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	3	2.542372881	0.185948011	2.437446	1.933177612	"FBtr0086633, FBtr0113477, FBtr0086340"	86	86	9284	3.765819362	1	1
INTERPRO	IPR020846:Major facilitator superfamily domain	4	3.389830508	0.238737048	0.996859	3.004788591	"FBtr0086633, FBtr0113477, FBtr0086340, FBtr0074345"	107	175	10984	2.346381842	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0113477	CG6006-RC	0.9375	0.045335	4.3	FlyBase CG6006-RC	Figure for CG6006-RC							
FBtr0337051	CG6293-RB	1.237465	0.024935	17.9	FlyBase CG6293-RB	Figure for CG6293-RB							
FBtr0086633	CG15096-RB	1.154491	0.043444	23.8	FlyBase CG15096-RB	Figure for CG15096-RB							
FBtr0075025	Sfxn2-RA	0.864766	0.030065	18	FlyBase Sfxn2-RA	Figure for Sfxn2-RA							
FBtr0074345	CG4928-RB	1.350082	0.036087	20.7	FlyBase CG4928-RB	Figure for CG4928-RB							
FBtr0073421	sesB-RA	0.034533	0.018637	4.3	FlyBase sesB-RA	Figure for sesB-RA							
FBtr0086340	CG8654-RA	3.663085	0.003712	3.3	FlyBase CG8654-RA	Figure for CG8654-RA							
													
Cluster-9	total=3	enrichmentScore=0.7501614329885282	phaseStdDev=4.084103736589978	"BTB/POZ-like,BTB,BTB/POZ foldAnnotation Cluster 9"	Enrichment Score: 0.7501614329885282								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR000210:BTB/POZ-like	3	2.542372881	0.15988899	4.635041333	4.084103737	"FBtr0332133, FBtr0113424, FBtr0085537"	107	74	10984	4.161656984	1	1
SMART	SM00225:BTB	3	2.542372881	0.177495928	4.635041333	4.084103737	"FBtr0332133, FBtr0113424, FBtr0085537"	58	70	5218	3.855665025	0.999997938	1
INTERPRO	IPR011333:BTB/POZ fold	3	2.542372881	0.197928689	4.635041333	4.084103737	"FBtr0332133, FBtr0113424, FBtr0085537"	107	85	10984	3.62308961	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0085537	Rnb-RA	0.922794	0	23.6	FlyBase Rnb-RA	Figure for Rnb-RA							
FBtr0113424	CG32121-RB	1.686586	0.003712	4.6	FlyBase CG32121-RB	Figure for CG32121-RB							
FBtr0332133	dbo-RB	0.989081	0.035342	9.6	FlyBase dbo-RB	Figure for dbo-RB							
													
Cluster-10	total=14	enrichmentScore=0.34682606619903106	phaseStdDev=6.18780195116108	"transcription factor activity, sequence-specific DNA binding,Transcription regulation,positive regulation of transcription from RNA polymerase II promoter,Transcription,transcription, DNA-templated,regulation of transcription, DNA-templated,DNA-binding,DNA binding,nucleus,NucleusAnnotation Cluster 10"	Enrichment Score: 0.34682606619903106								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	"GO:0003700~transcription factor activity, sequence-specific DNA binding"	5	4.237288136	0.24413061	-3.036257	4.847892476	"FBtr0100580, FBtr0334648, FBtr0084803, FBtr0310287, FBtr0333678"	86	275	9284	1.962790698	1	1
UP_KEYWORDS	Transcription regulation	6	5.084745763	0.271955469	-3.699617167	4.841110238	"FBtr0100580, FBtr0086113, FBtr0301978, FBtr0334648, FBtr0084803, FBtr0333678"	118	416	13921	1.701556389	1	0.942131447
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	4	3.389830508	0.309300867	-5.571813	2.757653686	"FBtr0086113, FBtr0301978, FBtr0334648, FBtr0333678"	95	228	10996	2.030655586	1	1
UP_KEYWORDS	Transcription	6	5.084745763	0.314464817	-3.699617167	4.841110238	"FBtr0100580, FBtr0086113, FBtr0301978, FBtr0334648, FBtr0084803, FBtr0333678"	118	442	13921	1.601464836	1	0.96039604
GOTERM_BP_DIRECT	"GO:0006351~transcription, DNA-templated"	5	4.237288136	0.40164258	-2.512779	4.435325129	"FBtr0100580, FBtr0301978, FBtr0334648, FBtr0084803, FBtr0333678"	95	376	10996	1.539193729	1	1
GOTERM_BP_DIRECT	"GO:0006355~regulation of transcription, DNA-templated"	5	4.237288136	0.449846143	-3.1387684	4.750991929	"FBtr0301978, FBtr0084803, FBtr0083335, FBtr0310287, FBtr0333678"	95	401	10996	1.44323402	1	1
UP_KEYWORDS	DNA-binding	6	5.084745763	0.469437888	-4.046451	5.039636981	"FBtr0100580, FBtr0086113, FBtr0301978, FBtr0334648, FBtr0084803, FBtr0310287"	118	535	13921	1.32307936	1	0.96039604
GOTERM_MF_DIRECT	GO:0003677~DNA binding	5	4.237288136	0.756176032	-3.3074628	5.215448947	"FBtr0100580, FBtr0086113, FBtr0301978, FBtr0334648, FBtr0084803"	86	555	9284	0.972553949	1	1
GOTERM_CC_DIRECT	GO:0005634~nucleus	14	11.86440678	0.890234327	13.67573379	6.187801951	"FBtr0100580, FBtr0345197, FBtr0301978, FBtr0113424, FBtr0084803, FBtr0083335, FBtr0301652, FBtr0075184, FBtr0086113, FBtr0334648, FBtr0072635, FBtr0310287, FBtr0076656, FBtr0333678"	94	1832	10026	0.815084084	1	1
UP_KEYWORDS	Nucleus	7	5.93220339	0.922692461	-2.494101714	5.367299471	"FBtr0100580, FBtr0086113, FBtr0301978, FBtr0334648, FBtr0084803, FBtr0076656, FBtr0333678"	118	1134	13921	0.728238125	1	0.96039604
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0310287	CHES-1-like-RC	1.122871	0.009636	16.3	FlyBase CHES-1-like-RC	Figure for CHES-1-like-RC							
FBtr0333678	NfI-RC	1.183007	0.036087	18.3	FlyBase NfI-RC	Figure for NfI-RC							
FBtr0076656	ZC3H3-RA	0.908059	0.042756	4.7	FlyBase ZC3H3-RA	Figure for ZC3H3-RA							
FBtr0084803	dan-RA	0.886505	0.044884	5.9	FlyBase dan-RA	Figure for dan-RA							
FBtr0075184	CG7484-RB	1.786094	0.020616	4.3	FlyBase CG7484-RB	Figure for CG7484-RB							
FBtr0334648	Clk-RH	0.513584	0.04197	22.1	FlyBase Clk-RH	Figure for Clk-RH							
FBtr0083335	nonA-l-RA	1.369675	0.022182	21	FlyBase nonA-l-RA	Figure for nonA-l-RA							
FBtr0113424	CG32121-RB	1.686586	0.003712	4.6	FlyBase CG32121-RB	Figure for CG32121-RB							
FBtr0345197	Thd1-RC	1.833878	0.009636	16.5	FlyBase Thd1-RC	Figure for Thd1-RC							
FBtr0100580	ewg-RF	0.725539	0.047923	18.2	FlyBase ewg-RF	Figure for ewg-RF							
FBtr0072635	CG9119-RA	0.655623	0.038333	10.4	FlyBase CG9119-RA	Figure for CG9119-RA							
FBtr0301652	Tob-RC	0.584292	0.037722	15.9	FlyBase Tob-RC	Figure for Tob-RC							
FBtr0301978	ATbp-RB	1.206502	0.015004	18.9	FlyBase ATbp-RB	Figure for ATbp-RB							
FBtr0086113	Adf1-RC	1.206937	0.033257	14.4	FlyBase Adf1-RC	Figure for Adf1-RC							
													
Cluster-11	total=7	enrichmentScore=0.26030913571008385	phaseStdDev=4.614449625829123	"ATPase activity,ATP-binding,Nucleotide-binding,ATP bindingAnnotation Cluster 11"	Enrichment Score: 0.26030913571008385								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	2.542372881	0.400556948	0.181323	4.537490784	"FBtr0305087, FBtr0076030, FBtr0075763"	86	150	9284	2.159069767	1	1
UP_KEYWORDS	ATP-binding	6	5.084745763	0.506626755	-0.435677833	4.358133282	"FBtr0072212, FBtr0305087, FBtr0076030, FBtr0089496, FBtr0335462, FBtr0075763"	118	558	13921	1.268543831	1	0.96039604
UP_KEYWORDS	Nucleotide-binding	7	5.93220339	0.541124806	-1.349748571	4.614449626	"FBtr0072212, FBtr0305087, FBtr0076030, FBtr0333718, FBtr0089496, FBtr0335462, FBtr0075763"	118	701	13921	1.178062816	1	0.96039604
GOTERM_MF_DIRECT	GO:0005524~ATP binding	6	5.084745763	0.828158804	-0.435677833	4.358133282	"FBtr0072212, FBtr0305087, FBtr0076030, FBtr0089496, FBtr0335462, FBtr0075763"	86	751	9284	0.862477936	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0072212	SERCA-RE	1.43976	0.014133	2.4	FlyBase SERCA-RE	Figure for SERCA-RE							
FBtr0076030	Klp68D-RA	1.57091	0.013512	1.7	FlyBase Klp68D-RA	Figure for Klp68D-RA							
FBtr0335462	CG9886-RB	1.142511	0.043683	17.2	FlyBase CG9886-RB	Figure for CG9886-RB							
FBtr0089496	Gdh-RB	0.741501	0.042524	1.3	FlyBase Gdh-RB	Figure for Gdh-RB							
FBtr0333718	shi-RO	0.753996	0.048814	17.2	FlyBase shi-RO	Figure for shi-RO							
FBtr0305087	CG9990-RE	0.499703	0.036597	18	FlyBase CG9990-RE	Figure for CG9990-RE							
FBtr0075763	Hsc70-1-RD	0.769057	0.025789	4.8	FlyBase Hsc70-1-RD	Figure for Hsc70-1-RD							
													
Cluster-12	total=7	enrichmentScore=0.1921043035758001	phaseStdDev=4.837701707068875	"signal peptide,Secreted,extracellular regionAnnotation Cluster 12"	Enrichment Score: 0.1921043035758001								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	signal peptide	6	5.084745763	0.423830328	-1.587623	4.627486315	"FBtr0343046, FBtr0083739, FBtr0071424, FBtr0330102, FBtr0089291, FBtr0085778"	32	427	3113	1.366949649	1	1
UP_KEYWORDS	Secreted	3	2.542372881	0.698641622	1.10409	3.930224699	"FBtr0343046, FBtr0071424, FBtr0089291"	118	287	13921	1.233183724	1	0.96039604
GOTERM_CC_DIRECT	GO:0005576~extracellular region	4	3.389830508	0.895860944	2.03646575	3.767356269	"FBtr0343046, FBtr0071424, FBtr0089291, FBtr0076525"	94	556	10026	0.767335068	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0083739	Dl-RA	0.81162	0.044142	17.5	FlyBase Dl-RA	Figure for Dl-RA							
FBtr0343046	Wnt5-RB	2.199888	0.015735	19.6	FlyBase Wnt5-RB	Figure for Wnt5-RB							
FBtr0076525	teq-RD	1.285551	0.030953	4.8	FlyBase teq-RD	Figure for teq-RD							
FBtr0330102	fz-RC	0.746547	0.044527	16.9	FlyBase fz-RC	Figure for fz-RC							
FBtr0089291	Wnt4-RA	0.811953	0.042754	4.1	FlyBase Wnt4-RA	Figure for Wnt4-RA							
FBtr0085778	chp-RA	4.719771	0	0.8	FlyBase chp-RA	Figure for chp-RA							
FBtr0071424	Yp2-RA	0.91193	0.013512	3.6	FlyBase Yp2-RA	Figure for Yp2-RA							
													
Cluster-13	total=7	enrichmentScore=0.1458623113714581	phaseStdDev=3.9264559598266535	"metal ion binding,Zinc finger, C2H2-like,Zinc finger, C2H2,ZnF_C2H2Annotation Cluster 13"	Enrichment Score: 0.1458623113714581								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	7	5.93220339	0.56194498	0.579903571	3.92645596	"FBtr0072212, FBtr0301978, FBtr0113424, FBtr0090003, FBtr0340254, FBtr0076656, FBtr0344326"	86	656	9284	1.151942711	1	1
INTERPRO	"IPR015880:Zinc finger, C2H2-like"	3	2.542372881	0.740884288	0.270601667	4.044170282	"FBtr0301978, FBtr0113424, FBtr0344326"	107	271	10984	1.13639342	1	1
INTERPRO	"IPR007087:Zinc finger, C2H2"	3	2.542372881	0.77915977	0.270601667	4.044170282	"FBtr0301978, FBtr0113424, FBtr0344326"	107	293	10984	1.051066952	1	1
SMART	SM00355:ZnF_C2H2	3	2.542372881	0.804414801	0.270601667	4.044170282	"FBtr0301978, FBtr0113424, FBtr0344326"	58	271	5218	0.995928235	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0076656	ZC3H3-RA	0.908059	0.042756	4.7	FlyBase ZC3H3-RA	Figure for ZC3H3-RA							
FBtr0090003	Ca-alpha1D-RD	0.722619	0.042351	1.7	FlyBase Ca-alpha1D-RD	Figure for Ca-alpha1D-RD							
FBtr0113424	CG32121-RB	1.686586	0.003712	4.6	FlyBase CG32121-RB	Figure for CG32121-RB							
FBtr0072212	SERCA-RE	1.43976	0.014133	2.4	FlyBase SERCA-RE	Figure for SERCA-RE							
FBtr0340254	CG6870-RB	0.853696	0.035056	18.5	FlyBase CG6870-RB	Figure for CG6870-RB							
FBtr0344326	CG31224-RB	1.175118	0.024052	1.3	FlyBase CG31224-RB	Figure for CG31224-RB							
FBtr0301978	ATbp-RB	1.206502	0.015004	18.9	FlyBase ATbp-RB	Figure for ATbp-RB							
